Spectral Radiance calculated by Planck's Radiation Law and its 
low frequency approximation at a temperature of T = 2.73 K.

NB: Spectral Radiance and LF Approx. have units W.m^-2.Hz^-1.sr^-1
Frequency (GHz)      Spectral Radiance    Low Freq. Approx.    
3.24649e+00          8.59046e-21          8.84033e-21          
3.26653e+00          8.69529e-21          8.94980e-21          
3.28657e+00          8.80075e-21          9.05995e-21          
3.30661e+00          8.90682e-21          9.17078e-21          
3.32665e+00          9.01350e-21          9.28227e-21          
3.34669e+00          9.12080e-21          9.39445e-21          
3.36673e+00          9.22872e-21          9.50729e-21          
3.38677e+00          9.33725e-21          9.62081e-21          
3.40681e+00          9.44640e-21          9.73500e-21          
3.42685e+00          9.55616e-21          9.84987e-21          
3.44689e+00          9.66653e-21          9.96541e-21          
3.46693e+00          9.77752e-21          1.00816e-20          
3.48697e+00          9.88912e-21          1.01985e-20          
3.50701e+00          1.00013e-20          1.03161e-20          
3.52705e+00          1.01142e-20          1.04343e-20          
3.54709e+00          1.02276e-20          1.05532e-20          
3.56713e+00          1.03417e-20          1.06728e-20          
3.58717e+00          1.04563e-20          1.07931e-20          
3.60721e+00          1.05716e-20          1.09140e-20          
3.62725e+00          1.06875e-20          1.10356e-20          
3.64729e+00          1.08040e-20          1.11579e-20          
3.66733e+00          1.09211e-20          1.12808e-20          
3.68737e+00          1.10388e-20          1.14044e-20          
3.70741e+00          1.11571e-20          1.15287e-20          
3.72745e+00          1.12761e-20          1.16537e-20          
3.74749e+00          1.13956e-20          1.17794e-20          
3.76754e+00          1.15158e-20          1.19057e-20          
3.78758e+00          1.16365e-20          1.20327e-20          
3.80762e+00          1.17579e-20          1.21603e-20          
3.82766e+00          1.18799e-20          1.22887e-20          
3.84770e+00          1.20024e-20          1.24177e-20          
3.86774e+00          1.21256e-20          1.25474e-20          
3.88778e+00          1.22494e-20          1.26777e-20          
3.90782e+00          1.23738e-20          1.28088e-20          
3.92786e+00          1.24989e-20          1.29405e-20          
3.94790e+00          1.26245e-20          1.30729e-20          
3.96794e+00          1.27507e-20          1.32059e-20          
3.98798e+00          1.28775e-20          1.33396e-20          
4.00802e+00          1.30049e-20          1.34741e-20          
4.02806e+00          1.31330e-20          1.36091e-20          
4.04810e+00          1.32616e-20          1.37449e-20          
4.06814e+00          1.33909e-20          1.38813e-20          
4.08818e+00          1.35207e-20          1.40184e-20          
4.10822e+00          1.36511e-20          1.41562e-20          
4.12826e+00          1.37822e-20          1.42946e-20          
4.14830e+00          1.39138e-20          1.44337e-20          
4.16834e+00          1.40461e-20          1.45735e-20          
4.18838e+00          1.41790e-20          1.47140e-20          
4.20842e+00          1.43124e-20          1.48551e-20          
4.22846e+00          1.44465e-20          1.49970e-20          
4.24850e+00          1.45811e-20          1.51394e-20          
4.26854e+00          1.47164e-20          1.52826e-20          
4.28858e+00          1.48522e-20          1.54264e-20          
4.30862e+00          1.49887e-20          1.55710e-20          
4.32866e+00          1.51258e-20          1.57161e-20          
4.34870e+00          1.52634e-20          1.58620e-20          
4.36874e+00          1.54017e-20          1.60085e-20          
4.38878e+00          1.55405e-20          1.61557e-20          
4.40882e+00          1.56800e-20          1.63036e-20          
4.42886e+00          1.58200e-20          1.64522e-20          
4.44890e+00          1.59606e-20          1.66014e-20          
4.46894e+00          1.61019e-20          1.67513e-20          
4.48898e+00          1.62437e-20          1.69019e-20          
4.50902e+00          1.63862e-20          1.70531e-20          
4.52906e+00          1.65292e-20          1.72050e-20          
4.54910e+00          1.66728e-20          1.73576e-20          
4.56914e+00          1.68170e-20          1.75109e-20          
4.58918e+00          1.69618e-20          1.76648e-20          
4.60922e+00          1.71072e-20          1.78194e-20          
4.62926e+00          1.72532e-20          1.79747e-20          
4.64930e+00          1.73998e-20          1.81307e-20          
4.66934e+00          1.75470e-20          1.82873e-20          
4.68938e+00          1.76948e-20          1.84446e-20          
4.70942e+00          1.78432e-20          1.86026e-20          
4.72946e+00          1.79922e-20          1.87613e-20          
4.74950e+00          1.81417e-20          1.89206e-20          
4.76954e+00          1.82919e-20          1.90806e-20          
4.78958e+00          1.84426e-20          1.92413e-20          
4.80962e+00          1.85939e-20          1.94026e-20          
4.82966e+00          1.87459e-20          1.95647e-20          
4.84970e+00          1.88984e-20          1.97274e-20          
4.86974e+00          1.90515e-20          1.98907e-20          
4.88978e+00          1.92052e-20          2.00548e-20          
4.90982e+00          1.93595e-20          2.02195e-20          
4.92986e+00          1.95143e-20          2.03849e-20          
4.94990e+00          1.96698e-20          2.05510e-20          
4.96994e+00          1.98258e-20          2.07177e-20          
4.98998e+00          1.99825e-20          2.08851e-20          
5.01002e+00          2.01397e-20          2.10532e-20          
5.03006e+00          2.02975e-20          2.12220e-20          
5.05010e+00          2.04559e-20          2.13914e-20          
5.07014e+00          2.06149e-20          2.15615e-20          
5.09018e+00          2.07745e-20          2.17323e-20          
5.11022e+00          2.09346e-20          2.19038e-20          
5.13026e+00          2.10954e-20          2.20759e-20          
5.15030e+00          2.12567e-20          2.22487e-20          
5.17034e+00          2.14186e-20          2.24222e-20          
5.19038e+00          2.15811e-20          2.25963e-20          
5.21042e+00          2.17442e-20          2.27711e-20          
5.23046e+00          2.19079e-20          2.29466e-20          
5.25050e+00          2.20721e-20          2.31228e-20          
5.27054e+00          2.22369e-20          2.32997e-20          
5.29058e+00          2.24023e-20          2.34772e-20          
5.31062e+00          2.25683e-20          2.36554e-20          
5.33066e+00          2.27349e-20          2.38342e-20          
5.35070e+00          2.29021e-20          2.40138e-20          
5.37074e+00          2.30698e-20          2.41940e-20          
5.39078e+00          2.32382e-20          2.43749e-20          
5.41082e+00          2.34071e-20          2.45565e-20          
5.43086e+00          2.35766e-20          2.47387e-20          
5.45090e+00          2.37466e-20          2.49216e-20          
5.47094e+00          2.39173e-20          2.51052e-20          
5.49098e+00          2.40885e-20          2.52894e-20          
5.51102e+00          2.42603e-20          2.54744e-20          
5.53106e+00          2.44327e-20          2.56600e-20          
5.55110e+00          2.46057e-20          2.58463e-20          
5.57114e+00          2.47792e-20          2.60332e-20          
5.59118e+00          2.49533e-20          2.62208e-20          
5.61122e+00          2.51280e-20          2.64091e-20          
5.63126e+00          2.53033e-20          2.65981e-20          
5.65130e+00          2.54791e-20          2.67878e-20          
5.67134e+00          2.56556e-20          2.69781e-20          
5.69138e+00          2.58326e-20          2.71691e-20          
5.71142e+00          2.60102e-20          2.73607e-20          
5.73146e+00          2.61883e-20          2.75531e-20          
5.75150e+00          2.63671e-20          2.77461e-20          
5.77154e+00          2.65464e-20          2.79398e-20          
5.79158e+00          2.67262e-20          2.81342e-20          
5.81162e+00          2.69067e-20          2.83292e-20          
5.83166e+00          2.70877e-20          2.85249e-20          
5.85170e+00          2.72693e-20          2.87213e-20          
5.87174e+00          2.74515e-20          2.89183e-20          
5.89178e+00          2.76343e-20          2.91161e-20          
5.91182e+00          2.78176e-20          2.93145e-20          
5.93186e+00          2.80015e-20          2.95136e-20          
5.95190e+00          2.81859e-20          2.97133e-20          
5.97194e+00          2.83710e-20          2.99137e-20          
5.99198e+00          2.85566e-20          3.01148e-20          
6.01202e+00          2.87428e-20          3.03166e-20          
6.03206e+00          2.89295e-20          3.05191e-20          
6.05210e+00          2.91168e-20          3.07222e-20          
6.07214e+00          2.93047e-20          3.09260e-20          
6.09218e+00          2.94932e-20          3.11304e-20          
6.11222e+00          2.96822e-20          3.13356e-20          
6.13226e+00          2.98718e-20          3.15414e-20          
6.15230e+00          3.00620e-20          3.17479e-20          
6.17234e+00          3.02527e-20          3.19551e-20          
6.19238e+00          3.04440e-20          3.21629e-20          
6.21242e+00          3.06359e-20          3.23714e-20          
6.23246e+00          3.08284e-20          3.25806e-20          
